plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,plant_type,lodging,#CWBD_plants_6month,fungus,#root_rot_plants,stem_rot,root_shape,root_type,root_skin_color,plot_weight,starch_content,percentage_root_rot
2024202DMEAR_tanhoi_rep1_VF21-0149_1,VF21-0149,KM140,AR9-18,tanhoi,1,1,1,1,0,1,1,1,1,1,1,0,0,TRUE,0,FALSE,cylindrical,1,cream,38,17,0.00
2024202DMEAR_tanhoi_rep1_VH21-0529_2,VH21-0529,AR9-18,NA,tanhoi,2,1,2,1,0,0.84,1,1,1,1,1,0,0,TRUE,0,FALSE,cylindrical,2,dark_brown,31.5,19,0.00
2024202DMEAR_tanhoi_rep1_VH21-0203_3,VH21-0203,IBA980505,NA,tanhoi,3,1,3,1,0,1,1,1,1,1,2,0,0,TRUE,9,FALSE,cylindrical,1,brown,77,18.7,0.00
2024202DMEAR_tanhoi_rep1_VH21-0779_4,VH21-0779,KU50,NA,tanhoi,4,1,4,1,0,1,1,1,1,1,3,0.7,0,TRUE,5,FALSE,cylindrical,2,cream,17,22.4,0.00
2024202DMEAR_tanhoi_rep1_VH21-0201_5,VH21-0201,IBA980505,NA,tanhoi,5,1,5,1,0,1,1,1,1,1,1,0,0,TRUE,5,FALSE,cylindrical,1,cream,94,15,0.00
2024202DMEAR_tanhoi_rep1_VH21-0019_6,VH21-0019,IBA920057,NA,tanhoi,6,1,6,1,0,0.84,1,1,1,1,1,0.5,0,TRUE,0,TRUE,cylindrical,3,dark_brown,33,16.5,0.00
2024202DMEAR_tanhoi_rep1_VF21-0055_7,VF21-0055,HL-S14,AR9-18,tanhoi,7,2,6,1,0,0.88,1,1,1,1,1,0.04,0,TRUE,0,FALSE,cylindrical,1,cream,63,21.8,0.00
2024202DMEAR_tanhoi_rep1_VF21-0017_8,VF21-0017,HL-S14,AR9-18,tanhoi,8,2,5,1,0,1,1,1,1,1,2,0,0,TRUE,3,FALSE,cylindrical,2,brown,55,24.8,0.00
2024202DMEAR_tanhoi_rep1_VH21-0681_9,VH21-0681,KU50,NA,tanhoi,9,2,4,1,0,0.92,1,1,1,1,2,0.5,0,TRUE,10,TRUE,cylindrical,3,dark_brown,19,19.5,0.00
2024202DMEAR_tanhoi_rep1_VH21-0477_10,VH21-0477,AR9-18,NA,tanhoi,10,2,3,1,0,0.72,1,1,1,1,2,0.08,0,TRUE,0,FALSE,cylindrical,3,brown,27,25,0.00
2024202DMEAR_tanhoi_rep1_CR24-16_11,CR24-16,NA,NA,tanhoi,11,2,2,1,1,0.76,1,1,1,1,2,0,0,FALSE,9,TRUE,conical,1,dark_brown,19,21,0.00
2024202DMEAR_tanhoi_rep1_VH21-0402_12,VH21-0402,KM140,NA,tanhoi,12,2,1,1,0,0.96,1,1,1,1,1,0,0,TRUE,0,FALSE,cylindrical,1,cream,78,22.3,0.00
2024202DMEAR_tanhoi_rep1_TMEB419_13,TMEB419,NA,NA,tanhoi,13,3,1,1,1,0.96,1,1,1,1,1,0,0,TRUE,1,FALSE,cylindrical,1,brown,40,26,0.00
2024202DMEAR_tanhoi_rep1_VH21-0500_14,VH21-0500,AR9-18,NA,tanhoi,14,3,2,1,0,1,1,1,1,1,1,0.08,0,TRUE,0,FALSE,cylindrical,3,cream,52,21.3,0.00
2024202DMEAR_tanhoi_rep1_VH21-1087_15,VH21-1087,TMEB419,NA,tanhoi,15,3,3,1,0,0.96,1,1,1,1,2,0,0,TRUE,1,FALSE,cylindrical,1,brown,68,24,0.00
2024202DMEAR_tanhoi_rep1_VH21-0061_16,VH21-0061,IBA972205,NA,tanhoi,16,3,4,1,0,0.88,1,1,1,1,1,0.3,0,FALSE,0,FALSE,conical,1,dark_brown,21,22,0.00
2024202DMEAR_tanhoi_rep1_VH21-1140_17,VH21-1140,CR24-12,NA,tanhoi,17,3,5,1,0,1,1,1,1,1,2,0,0,TRUE,6,TRUE,conical,1,brown,7.5,18.8,0.00
2024202DMEAR_tanhoi_rep1_VH21-0095_18,VH21-0095,IBA972205,NA,tanhoi,18,3,6,1,0,0.92,1,1,1,1,1,0.5,0,TRUE,2,FALSE,cylindrical,3,cream,40.5,17.8,0.00
2024202DMEAR_tanhoi_rep1_VH21-1145_19,VH21-1145,CR24-12,NA,tanhoi,19,4,6,1,0,0.96,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,cream,42.5,24.4,0.00
2024202DMEAR_tanhoi_rep1_VH21-0708_20,VH21-0708,KU50,NA,tanhoi,20,4,5,1,0,0.92,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,2,cream,53.5,19.5,0.00
2024202DMEAR_tanhoi_rep1_VH21-0016_21,VH21-0016,IBA920057,NA,tanhoi,21,4,4,1,0,0.76,1,1,1,1,1,0.04,0,FALSE,0,FALSE,cylindrical,1,brown,44,24.4,0.00
2024202DMEAR_tanhoi_rep1_KU50_22,KU50,NA,NA,tanhoi,22,4,3,1,1,0.44,1,3,4,4,1,0.2,0,TRUE,8,FALSE,cylindrical,1,cream,37,22,0.00
2024202DMEAR_tanhoi_rep1_VH21-1088_23,VH21-1088,TMEB419,NA,tanhoi,23,4,2,1,0,1,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,brown,71,26.3,0.00
2024202DMEAR_tanhoi_rep1_VH21-0427_24,VH21-0427,CR24-16,NA,tanhoi,24,4,1,1,0,0.8,1,1,1,1,1,0,0,TRUE,5,TRUE,conical,1,dark_brown,20,29,0.00
2024202DMEAR_tanhoi_rep1_VF21-0109_25,VF21-0109,HL-S13,AR9-18,tanhoi,25,5,1,1,0,0.88,1,1,1,1,1,0.3,0,TRUE,0,FALSE,cylindrical,1,cream,37,23.8,0.00
2024202DMEAR_tanhoi_rep1_VH21-0072_26,VH21-0072,IBA972205,NA,tanhoi,26,5,2,1,0,0.96,1,1,1,1,1,0,1,FALSE,0,FALSE,cylindrical,3,brown,49,24.5,0.00
2024202DMEAR_tanhoi_rep1_VH21-1081_27,VH21-1081,TMEB419,NA,tanhoi,27,5,3,1,0,1,1,1,1,1,1,0,0,FALSE,12,FALSE,cylindrical,2,brown,67.5,23.8,0.00
2024202DMEAR_tanhoi_rep1_VF21-0184_28,VF21-0184,KM140,AR9-18,tanhoi,28,5,4,1,0,1,1,1,1,1,1,0.04,3,FALSE,1,FALSE,cylindrical,1,cream,70,18.5,0.00
2024202DMEAR_tanhoi_rep1_KM505_29,KM505,NA,NA,tanhoi,29,5,5,1,1,0.68,2,3,3,4,1,0,0,FALSE,1,FALSE,cylindrical,1,dark_brown,37,28.5,0.00
2024202DMEAR_tanhoi_rep1_VH21-0439_30,VH21-0439,CR27-20,NA,tanhoi,30,5,6,1,0,0.84,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,brown,46,22.4,0.00
2024202DMEAR_tanhoi_rep1_IBA980581_31,IBA980581,NA,NA,tanhoi,31,6,6,1,1,0.96,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,brown,67,20.6,4.17
2024202DMEAR_tanhoi_rep1_VH21-0600_32,VH21-0600,HL-S13,NA,tanhoi,32,6,5,1,0,0.84,1,1,1,1,1,0,3,FALSE,0,FALSE,cylindrical,3,cream,9,19,85.71
2024202DMEAR_tanhoi_rep1_VF21-0005_33,VF21-0005,HL-S13,CR24-3,tanhoi,33,6,4,1,0,1,1,1,1,1,1,0.08,2,FALSE,1,FALSE,cylindrical,1,brown,78,23.4,4.00
2024202DMEAR_tanhoi_rep1_VH21-0172_34,VH21-0172,IBA980505,NA,tanhoi,34,6,3,1,0,1,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,cream,94.5,20.8,0.00
2024202DMEAR_tanhoi_rep1_VF21-0146_35,VF21-0146,KM140,AR9-18,tanhoi,35,6,2,1,0,1,1,1,1,1,1,0,1,FALSE,0,FALSE,cylindrical,1,brown,44,19.8,40.00
2024202DMEAR_tanhoi_rep1_VF21-0148_36,VF21-0148,KM140,AR9-18,tanhoi,36,6,1,1,0,0.84,1,1,1,1,1,0.4,0,FALSE,2,TRUE,cylindrical,1,cream,28,17.5,14.29
2024202DMEAR_tanhoi_rep2_VH21-0172_37,VH21-0172,IBA980505,NA,tanhoi,37,7,1,2,0,0.96,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,cream,60,20.5,25.00
2024202DMEAR_tanhoi_rep2_VH21-0779_38,VH21-0779,KU50,NA,tanhoi,38,7,2,2,0,1,1,1,1,1,3,1,0,FALSE,0,FALSE,cylindrical,2,brown,28,26.5,16.00
2024202DMEAR_tanhoi_rep2_VH21-0402_39,VH21-0402,KM140,NA,tanhoi,39,7,3,2,0,0.92,1,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,cream,93.5,21.3,8.70
2024202DMEAR_tanhoi_rep2_VH21-0095_40,VH21-0095,IBA972205,NA,tanhoi,40,7,4,2,0,1,1,1,1,1,1,0,5,FALSE,0,FALSE,cylindrical,1,brown,77.5,22,8.00
2024202DMEAR_tanhoi_rep2_VH21-0203_41,VH21-0203,IBA980505,NA,tanhoi,41,7,5,2,0,1,1,1,1,1,1,0,0,FALSE,1,FALSE,,1,brown,82.5,19.6,12.00
2024202DMEAR_tanhoi_rep2_VF21-0149_42,VF21-0149,KM140,AR9-18,tanhoi,42,7,6,2,0,1,1,1,1,1,1,0,0,FALSE,2,FALSE,cylindrical,1,brown,43.5,18.4,12.00
2024202DMEAR_tanhoi_rep2_VH21-1081_43,VH21-1081,TMEB419,NA,tanhoi,43,8,6,2,0,1,1,1,1,1,1,0,4,FALSE,12,FALSE,cylindrical,2,brown,68,23.5,12.00
2024202DMEAR_tanhoi_rep2_VF21-0005_44,VF21-0005,HL-S13,CR24-3,tanhoi,44,8,5,2,0,1,1,1,1,1,2,0.4,5,FALSE,2,FALSE,cylindrical,1,brown,31.6,18.4,24.00
2024202DMEAR_tanhoi_rep2_VF21-0017_45,VF21-0017,HL-S14,AR9-18,tanhoi,45,8,4,2,0,1,1,1,1,1,1,0.04,1,FALSE,7,FALSE,cylindrical,3,brown,51.2,26.8,8.00
2024202DMEAR_tanhoi_rep2_IBA980581_46,IBA980581,NA,NA,tanhoi,46,8,3,2,1,0.6,1,1,1,1,1,0.5,0,FALSE,0,FALSE,cylindrical,1,brown,44.2,17,6.67
2024202DMEAR_tanhoi_rep2_VH21-0477_47,VH21-0477,AR9-18,NA,tanhoi,47,8,2,2,0,0.68,1,1,1,1,2,0.5,0,FALSE,0,FALSE,cylindrical,3,brown,29,26.5,23.53
2024202DMEAR_tanhoi_rep2_VH21-0681_48,VH21-0681,KU50,NA,tanhoi,48,8,1,2,0,0.8,1,1,1,1,1,0.9,0,FALSE,0,FALSE,cylindrical,3,dark_brown,34.6,24.1,55.00
2024202DMEAR_tanhoi_rep2_CR24-16_49,CR24-16,NA,NA,tanhoi,49,9,1,2,1,0.44,1,1,1,1,2,0,0,FALSE,1,FALSE,cylindrical,1,dark_brown,24,25.8,27.27
2024202DMEAR_tanhoi_rep2_VH21-1145_50,VH21-1145,CR24-12,NA,tanhoi,50,9,2,2,0,1,2,1,1,1,1,0,0,FALSE,0,FALSE,cylindrical,1,cream,66,27,8.00
2024202DMEAR_tanhoi_rep2_VH21-0529_51,VH21-0529,AR9-18,NA,tanhoi,51,9,3,2,0,0.48,1,1,1,1,2,0.04,0,FALSE,0,FALSE,cylindrical,2,dark_brown,38,20.7,33.33
