plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,lodging,plant_type,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024203DMEPR_chauthanh_rep1_VH22-0564_1,VH22-0564,IBA980505,NA,chauthanh,1,1,1,1,0,1,1,1,1,1,0,1,conical,1,cream,20.6,17.5,10.00
2024203DMEPR_chauthanh_rep1_VH22-0010_2,VH22-0010,IBA920057,NA,chauthanh,2,1,2,1,0,1,1,1,1,1,0,1,cylindrical,1,brown,72.8,29.3,0.00
2024203DMEPR_chauthanh_rep1_VH22-0088_3,VH22-0088,IBA980581,NA,chauthanh,3,1,3,1,0,0.9,1,1,1,1,0,1,cylindrical,1,dark_brown,60.8,23.7,11.11
2024203DMEPR_chauthanh_rep1_VF22-0144_4,VF22-0144,HL-S11,IBA980581,chauthanh,4,1,4,1,0,0.6,1,1,1,1,0,3,conical,1,cream,18.6,18.6,0.00
2024203DMEPR_chauthanh_rep1_KM505_5,KM505,SM937-26,NA,chauthanh,5,1,5,1,1,1,1,1,2,1,0,1,conical,1,brown,31.4,19,30.00
2024203DMEPR_chauthanh_rep1_VH22-0454_6,VH22-0454,AR42-4,NA,chauthanh,6,1,6,1,0,1,1,1,1,1,0,1,conical,3,brown,21.6,23.7,40.00
2024203DMEPR_chauthanh_rep1_VF22-0120_7,VF22-0120,Rayong 11,AR35-1,chauthanh,7,1,7,1,0,0.9,1,1,1,1,0,2,cylindrical,3,dark_brown,15,18.5,55.56
2024203DMEPR_chauthanh_rep1_VH22-0120_8,VH22-0120,IBA980581,NA,chauthanh,8,1,8,1,0,0.9,1,1,1,1,0,1,conical,2,brown,5.8,12.62,88.89
2024203DMEPR_chauthanh_rep1_VH22-0336_9,VH22-0336,TMEB419,NA,chauthanh,9,1,9,1,0,1,1,1,1,1,0,1,conical,2,cream,5,15.56,100.00
2024203DMEPR_chauthanh_rep1_VS22-0002_10,VS22-0002,CR24-16,CR24-16,chauthanh,10,1,10,1,0,1,1,1,1,1,1,1,conical,2,dark_brown,3,21.35,90.00
2024203DMEPR_chauthanh_rep1_VH22-0346_11,VH22-0346,TMEB419,NA,chauthanh,11,1,11,1,0,1,1,1,1,1,0,1,conical,3,cream,6.8,22.18,90.00
2024203DMEPR_chauthanh_rep1_VF22-0140_12,VF22-0140,HL-S11,IBA980581,chauthanh,12,2,11,1,0,1,1,1,1,1,0.7,1,conical,2,dark_brown,8,14.5,90.00
2024203DMEPR_chauthanh_rep1_VF22-0030_13,VF22-0030,TMEB419,KU50,chauthanh,13,2,10,1,0,1,1,1,1,1,NA,1,NA,NA,NA,0, NA ,100.00
2024203DMEPR_chauthanh_rep1_VH22-0277_14,VH22-0277,CR24-16,NA,chauthanh,14,2,9,1,0,0.9,1,1,2,1,0.8,1,NA,NA,NA,2.2,20.31,100.00
2024203DMEPR_chauthanh_rep1_VF22-0157_15,VF22-0157,HL-S11,IBA980581,chauthanh,15,2,8,1,0,0.9,1,1,1,1,0.3,1,cylindrical,2,cream,10.3,19.1,88.89
