plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,#stem_rot_plant,lodging,plant_type,Early Bulking,CBB_score,#CWBD_plants,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024204DMEPR_tanhoi_rep1_VF22-0030_1,VF22-0030,TMEB419,KU50,tanhoi,1,1,1,1,0,1,1,1,1,1,3,0.5,1,,3,0,cylindrical,1,Yellow,10,25.8,0
2024204DMEPR_tanhoi_rep1_VH22-0336_2,VH22-0336,TMEB419,NA,tanhoi,2,1,2,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,37.6,22.5,30
2024204DMEPR_tanhoi_rep1_VH22-0552_3,VH22-0552,AR9-12,NA,tanhoi,3,1,3,1,0,0.2,1,1,1,1,0,1,3,,1,0,conical,3,dark_brown,2.6,22.74,0
2024204DMEPR_tanhoi_rep1_VF22-0120_4,VF22-0120,Rayong 11,AR35-1,tanhoi,4,1,4,1,0,1,1,1,1,1,0,0,2,,3,0,cylindrical,1,dark_brown,8.2,26.7,40
2024204DMEPR_tanhoi_rep1_VF22-0197_5,VF22-0197,HL-S11,AR35-1,tanhoi,5,1,5,1,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,18.2,29.5,66.67
2024204DMEPR_tanhoi_rep1_VH22-0186_6,VH22-0186,CR24-16,NA,tanhoi,6,1,6,1,0,0.8,1,1,1,1,0,0,1,,1,0,cylindrical,1,dark_brown,12.4,30,25
2024204DMEPR_tanhoi_rep1_VF22-0101_7,VF22-0101,HL-S11,IBA980581,tanhoi,7,1,7,1,0,1,1,1,1,1,0,0,1,,1,0,cylindrical,3,Yellow,30.2,27,20
2024204DMEPR_tanhoi_rep1_VS22-0002_8,VS22-0002,CR24-16,CR24-16,tanhoi,8,1,8,1,0,1,1,1,1,1,0,0,1,,3,3,conical,1,brown,24.6,23.8,0
2024204DMEPR_tanhoi_rep1_VH22-0119_9,VH22-0119,IBA980581,NA,tanhoi,9,1,9,1,0,1,1,1,1,1,0,0,2,,1,0,cylindrical,1,Yellow,46.6,24.5,0
2024204DMEPR_tanhoi_rep1_HLH22-0623_10,HLH22-0623,VN19-773,NA,tanhoi,10,1,10,1,0,1,1,1,3,2,0,0,2,,1,0,cylindrical,1,dark_brown,23.2,30,0
2024204DMEPR_tanhoi_rep1_KU50_11,KU50,NA,NA,tanhoi,11,1,11,1,1,1,2,2,4,2,0,0,2,,1,0,cylindrical,1,Yellow,30.2,24.5,10
2024204DMEPR_tanhoi_rep1_VH22-0277_12,VH22-0277,CR24-16,NA,tanhoi,12,2,11,1,0,0.4,1,1,3,1,0,1,2,,1,0,cylindrical,1,brown,7,19,0
2024204DMEPR_tanhoi_rep1_VH22-0010_13,VH22-0010,IBA920057,NA,tanhoi,13,2,10,1,0,0.9,1,1,1,1,0,0,1,,1,0,cylindrical,1,Yellow,34.2,25.6,11.11
