plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,plant_type,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024205DMEAR_dona_rep1_KU50_1,KU50,NA,NA,dona,1,1,1,1,1,0.96,1,1,1,1,1,cylindrical,1,cream,43.8,25,12.50
2024205DMEAR_dona_rep1_VF21-0184_2,VF21-0184,KM140,AR9-18,dona,2,1,2,1,0,1,1,1,1,1,1,cylindrical,1,cream,19.6,15.5,12.00
2024205DMEAR_dona_rep1_VH21-1140_3,VH21-1140,CR24-12,NA,dona,3,1,3,1,0,0.96,1,1,1,1,4,conical,3,cream,23.6,25,4.17
2024205DMEAR_dona_rep1_VF21-0017_4,VF21-0017,HL-S14,AR9-18,dona,4,1,4,1,0,1,1,1,1,1,1,cylindrical,1,cream,83.6,25.7,0.00
2024205DMEAR_dona_rep1_VF21-0109_5,VF21-0109,HL-S13,AR9-18,dona,5,1,5,1,0,1,1,1,1,1,1,cylindrical,2,cream,40.4,27.4,4.00
2024205DMEAR_dona_rep1_VH21-0203_6,VH21-0203,IBA980505,NA,dona,6,1,6,1,0,1,1,1,1,1,2,cylindrical,1,cream,145.6,22,0.00
2024205DMEAR_dona_rep1_VH21-0779_7,VH21-0779,KU50,NA,dona,7,1,7,1,0,0.76,1,1,1,1,1,cylindrical,1,cream,23,24,31.58
2024205DMEAR_dona_rep1_VH21-0061_8,VH21-0061,IBA972205,NA,dona,8,2,7,1,0,1,1,1,1,1,1,cylindrical,1,brown,78.4,25.5,0.00
2024205DMEAR_dona_rep1_KM505_9,KM505,NA,NA,dona,9,2,6,1,1,0.84,1,1,1,1,1,cylindrical,1,brown,40,23.8,0.00
2024205DMEAR_dona_rep1_VH21-0172_10,VH21-0172,IBA980505,NA,dona,10,2,5,1,0,1,1,1,1,1,1,cylindrical,1,cream,116.2,22,0.00
2024205DMEAR_dona_rep1_VH21-0402_11,VH21-0402,KM140,NA,dona,11,2,4,1,0,1,1,1,1,1,1,cylindrical,1,cream,127,28.4,0.00
2024205DMEAR_dona_rep1_VF21-0055_12,VF21-0055,HL-S14,AR9-18,dona,12,2,3,1,0,1,1,1,1,1,1,cylindrical,1,cream,57.8,27.8,0.00
2024205DMEAR_dona_rep1_VF21-0005_13,VF21-0005,HL-S13,CR24-3,dona,13,2,2,1,0,1,1,1,1,1,3,cylindrical,1,cream,41.4,17.9,20.00
2024205DMEAR_dona_rep1_VH21-0708_14,VH21-0708,KU50,NA,dona,14,2,1,1,0,1,1,1,1,1,1,cylindrical,1,cream,126.6,21.5,0.00
2024205DMEAR_dona_rep1_VH21-0016_15,VH21-0016,IBA920057,NA,dona,15,3,1,1,0,0.76,1,1,1,1,1,cylindrical,1,brown,25,19.2,26.32
2024205DMEAR_dona_rep1_IBA980581_16,IBA980581,NA,NA,dona,16,3,2,1,1,0.84,1,1,1,1,1,cylindrical,1,cream,91.2,16.4,0.00
2024205DMEAR_dona_rep1_CR24-16_17,CR24-16,NA,NA,dona,17,3,3,1,1,0.6,1,1,1,1,1,conical,1,dark_brown,5,18.1,6.67
2024205DMEAR_dona_rep1_VH21-0477_18,VH21-0477,AR9-18,NA,dona,18,3,4,1,0,0.6,1,1,1,1,1,cylindrical,3,cream,29,27.2,20.00
2024205DMEAR_dona_rep1_TMEB419_19,TMEB419,NA,NA,dona,19,3,5,1,1,1,1,1,1,1,1,cylindrical,1,brown,75.4,27,12.00
2024205DMEAR_dona_rep1_VH21-0072_20,VH21-0072,IBA972205,NA,dona,20,3,6,1,0,0.52,1,1,1,1,3,cylindrical,3,brown,38.8,19.5,0.00
2024205DMEAR_dona_rep1_VH21-1087_21,VH21-1087,TMEB419,NA,dona,21,3,7,1,0,1,1,1,1,1,1,cylindrical,1,cream,60,28.7,0.00
2024205DMEAR_dona_rep2_IBA980581_22,IBA980581,NA,NA,dona,22,4,7,2,1,0.84,1,1,1,1,3,cylindrical,1,cream,70,20.7,0.00
2024205DMEAR_dona_rep2_VH21-1140_23,VH21-1140,CR24-12,NA,dona,23,4,6,2,0,1,1,1,1,1,1,cylindrical,1,cream,40,26.5,0.00
2024205DMEAR_dona_rep2_VH21-0203_24,VH21-0203,IBA980505,NA,dona,24,4,5,2,0,0.96,1,1,1,1,2,cylindrical,1,cream,114.2,21.5,0.00
2024205DMEAR_dona_rep2_KU50_25,KU50,NA,NA,dona,25,4,4,2,1,1,1,1,1,1,1,cylindrical,1,cream,24.8,24.7,0.00
2024205DMEAR_dona_rep2_VH21-0172_26,VH21-0172,IBA980505,NA,dona,26,4,3,2,0,0.96,1,1,1,1,1,cylindrical,1,cream,99,22.3,0.00
2024205DMEAR_dona_rep2_VH21-0072_27,VH21-0072,IBA972205,NA,dona,27,4,2,2,0,0.64,1,1,1,1,3,cylindrical,3,brown,22.4,17,0.00
2024205DMEAR_dona_rep2_TMEB419_28,TMEB419,NA,NA,dona,28,4,1,2,1,0.88,1,1,1,1,1,cylindrical,1,brown,28.2,26,40.91
2024205DMEAR_dona_rep2_VH21-0779_29,VH21-0779,KU50,NA,dona,29,5,1,2,0,0.68,1,1,1,1,3,cylindrical,2,cream,21.8,23.1,0.00
2024205DMEAR_dona_rep2_VF21-0017_30,VF21-0017,HL-S14,AR9-18,dona,30,5,2,2,0,0.92,1,1,1,1,1,cylindrical,1,brown,63.6,28.5,0.00
2024205DMEAR_dona_rep2_VF21-0109_31,VF21-0109,HL-S13,AR9-18,dona,31,5,3,2,0,1,1,1,1,1,1,cylindrical,1,cream,44.2,28.5,0.00
2024205DMEAR_dona_rep2_VF21-0055_32,VF21-0055,HL-S14,AR9-18,dona,32,5,4,2,0,1,1,1,1,1,1,cylindrical,1,cream,47.2,27.5,0.00
2024205DMEAR_dona_rep2_VH21-0708_33,VH21-0708,KU50,NA,dona,33,5,5,2,0,1,1,1,1,1,1,cylindrical,1,cream,87.2,22.6,8.00
2024205DMEAR_dona_rep2_VF21-0184_34,VF21-0184,KM140,AR9-18,dona,34,5,6,2,0,1,1,1,1,1,1,cylindrical,1,cream,38,16.5,8.00
2024205DMEAR_dona_rep2_VH21-0016_35,VH21-0016,IBA920057,NA,dona,35,5,7,2,0,1,1,1,1,1,1,cylindrical,1,brown,53.2,26.3,0.00
2024205DMEAR_dona_rep2_VF21-0005_36,VF21-0005,HL-S13,CR24-3,dona,36,6,7,2,0,1,1,1,1,1,1,cylindrical,1,cream,84.4,26.4,12.00
2024205DMEAR_dona_rep2_VH21-0061_37,VH21-0061,IBA972205,NA,dona,37,6,6,2,0,1,1,1,1,1,1,cylindrical,1,brown,55.4,24.5,8.00
2024205DMEAR_dona_rep2_CR24-16_38,CR24-16,NA,NA,dona,38,6,5,2,1,0.6,1,1,1,1,1,conical,1,dark_brown,3.6,4.73,6.67
