plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024206DMEPR_dona_rep1_KM505_1,KM505,SM937-26,NA,dona,1,1,1,1,1,1,1,,2,2,cylindrical,1,dark_brown,32.5,32.2,0.00
2024206DMEPR_dona_rep1_VH22-0159_2,VH22-0159,CR24-16,NA,dona,2,1,2,1,0,1,1,,1,1,cylindrical,1,brown,29.5,29.5,0.00
2024206DMEPR_dona_rep1_Filler2_3,Filler2,NA,NA,dona,3,1,3,1,0,1,1,,1,1,cylindrical,1,dark_brown,38,29,0.00
2024206DMEPR_dona_rep1_Filler7_4,Filler7,NA,NA,dona,4,1,4,1,0,1,1,,1,1,cylindrical,1,brown,16,27.2,40.00
2024206DMEPR_dona_rep1_VH22-0336_5,VH22-0336,TMEB419,NA,dona,5,1,5,1,0,1,1,,1,1,cylindrical,1,cream,39,22.5,0.00
2024206DMEPR_dona_rep1_VF22-0028_6,VF22-0028,TMEB419,HL-S11,dona,6,1,6,1,0,1,1,,1,1,cylindrical,1,brown,28.8,28,0.00
2024206DMEPR_dona_rep1_VH22-0088_7,VH22-0088,IBA980581,NA,dona,7,1,7,1,0,1,1,,1,1,conical,3,brown,15.2,23.6,30.00
2024206DMEPR_dona_rep1_VF22-0024_8,VF22-0024,CR24-16,HL-S14,dona,8,1,8,1,0,1,1,,1,1,conical,3,brown,15.2,22,10.00
2024206DMEPR_dona_rep1_VH22-0220_9,VH22-0220,CR24-16,NA,dona,9,1,9,1,0,0.9,1,,1,1,cylindrical,3,brown,25.5,24,11.11
2024206DMEPR_dona_rep1_VS22-0002_10,VS22-0002,CR24-16,CR24-16,dona,10,1,10,1,0,1,1,,1,1,conical,2,brown,NA,20.7,50.00
2024206DMEPR_dona_rep1_VF22-0013_11,VF22-0013,CR24-16,HL-S14,dona,11,1,11,1,0,1,1,,1,1,cylindrical,1,brown,16.5,22.4,0.00
2024206DMEPR_dona_rep1_VF22-0140_12,VF22-0140,HL-S11,IBA980581,dona,12,1,12,1,0,1,1,,1,1,cylindrical,1,brown,30.2,24.5,10.00
2024206DMEPR_dona_rep1_VH22-0287_13,VH22-0287,KM419,NA,dona,13,1,13,1,0,0.9,1,,1,1,conical,3,brown,22.4,21,22.22
