plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,Column1,1M_Vigor,3M_Vigor,1M_CMD,3M_CMD,6M_CMD,CMD_harvest,Root Shape,percentage_root_rot,Plant Type,Logging %,Stem Count,root_type,Root_skin_color,plot_weight,starch_content
2024207DMEAR_dona_rep1_VF21-0315_1,VF21-0315,HL-S14,AR9-18,dona,1,1,1,1,0,0.92,4,5,1,1,1,1,Cylindrical ,17.39,2,50,30,,Brown ,18.7,26.5
2024207DMEAR_dona_rep1_HLF21-0506_2,HLF21-0506,NA,NA,dona,2,1,2,1,0,0.88,2,3,1,1,1,1,Cylindrical ,18.18,3,30,70,,Brown ,35.2,22.5
2024207DMEAR_dona_rep1_VH21-1521_3,VH21-1521,AR9-18,NA,dona,3,1,3,1,0,1.00,3,3,1,2,1,1,Cylindrical ,28.00,2,60,28,,Brown ,16.9,19
2024207DMEAR_dona_rep1_TMEB419_4,TMEB419,NA,NA,dona,4,1,4,1,1,0.92,4,5,1,1,1,1,Cylindrical ,73.91,1,80,19,,Dark_brown,28.4,20
2024207DMEAR_dona_rep1_VF21-0301_5,VF21-0301,HL-S14,AR9-18,dona,5,2,4,1,0,1.00,4,4,1,1,1,1,Cylindrical ,0.00,2,0,50,,Brown ,63,15
2024207DMEAR_dona_rep1_VH21- 1506_6,VH21- 1506,NA,NA,dona,6,2,3,1,0,0.96,3,3,1,1,1,1,Conical ,0.00,2,40,40,,Brown ,37,18
2024207DMEAR_dona_rep1_KU50_7,KU50,NA,NA,dona,7,2,2,1,1,0.96,4,3,3,3,3,2,Conical ,8.33,3,80,12,,Brown ,19.1,19.9
2024207DMEAR_dona_rep1_VF21-0289_8,VF21-0289,AR9-18,HL-S14,dona,8,2,1,1,0,1.00,5,3,1,1,1,1,Conical ,32.00,3,90,15,,Brown ,10.2,16.4
2024207DMEAR_dona_rep1_HLH21-0035_9,HLH21-0035,AR9-18,NA,dona,9,3,1,1,0,0.88,5,4,1,1,1,1,Conical ,9.09,3,12,50,,Brown ,51.9,15.7
2024207DMEAR_dona_rep1_VH21-1505_10,VH21-1505,IBA972205,NA,dona,10,3,2,1,0,0.88,2,3,1,1,1,1,Cylindrical ,0.00,2,16,30,,Dark_brown,26.8,10.9
