plot_name,accession_name,location,plot_number,row_number,column_number,rep_number,is_a_check, germination_rate , 1M_VIGOR , 3M_VIGOR , 1M_CMD , 3M_CMD , 6M_CMD , CMD_harvest , percentage_root_rot , Loging % , Plant Type , Stem Count , Root_shape ,plot_weight,starch_content
2024208DMEPR_dona_rep1_HLF22-0296_1,HLF22-0296,dona,1,1,1,1,0, 0.90 , 3 , 5 , 1.0 , 1.0 , 1.0 , 1.0 ,0.89,90.00, 2 , 10 , Cylindrical ,5.6, 14.02 
2024208DMEPR_dona_rep1_HLF22-0297_2,HLF22-0297,dona,2,2,1,1,0, 0.70 , 3 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.71,100.00, 1 , 7 , Cylindrical ,0, NA 
2024208DMEPR_dona_rep1_HLF22-0146_3,HLF22-0146,dona,3,3,1,1,0, 1.00 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.40,70.00, 2 , 13 , Cylindrical ,14, 21.00 
2024208DMEPR_dona_rep1_CR24-16_4,CR24-16,dona,4,4,1,1,1, 0.80 , 1 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.13,0.00, 2 , 7 , Conical ,3.4, 25.68 
2024208DMEPR_dona_rep1_HLF22-0032_5,HLF22-0032,dona,5,5,1,1,0, 1.00 , 3 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 27 , Cylindrical ,19.6, 18.00 
2024208DMEPR_dona_rep1_HLH22-0010_6,HLH22-0010,dona,6,6,1,1,0, 1.00 , 3 , 3 , 1.0 , 1.0 , 1.1 , 2.0 ,0.20,5.00, 2 , 21 , Cylindrical ,27.2, 29.00 
2024208DMEPR_dona_rep1_HLF22-0176_7,HLF22-0176,dona,7,7,1,1,0, 1.00 , 3 , 3 , 1.0 , 1.4 , 1.4 , 2.0 ,0.00,0.00, 1 , 28 , Conical ,35, 25.00 
2024208DMEPR_dona_rep1_HLF22-0153_8,HLF22-0153,dona,8,8,1,1,0, 0.90 , 4 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.22,0.00, 2 , 20 , Conical ,11, 20.20 
2024208DMEPR_dona_rep1_HLH22-0069_9,HLH22-0069,dona,9,9,1,1,0, 1.00 , 3 , 2 , 1.0 , 1.2 , 1.1 , 2.0 ,0.20,10.00, 1 , 11 , Conical ,14.4, 29.00 
2024208DMEPR_dona_rep1_HLF22-0183_10,HLF22-0183,dona,10,9,2,1,0, 1.00 , 4 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 18 , Cylindrical ,36.6, 26.80 
2024208DMEPR_dona_rep1_HLF22-0048_11,HLF22-0048,dona,11,8,2,1,0, 1.00 , 3 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 2 , 27 , Conical ,24.4, 31.00 
2024208DMEPR_dona_rep1_HLF22-0249_12,HLF22-0249,dona,12,7,2,1,0, 0.60 , 1 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 12 , Cylindrical ,12.4, 27.40 
2024208DMEPR_dona_rep1_HLF22-0197_13,HLF22-0197,dona,13,6,2,1,0, 1.00 , 1 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 2 , 23 , Cylindrical ,21, 20.40 
2024208DMEPR_dona_rep1_HLH22-0623_14,HLH22-0623,dona,14,5,2,1,0, 1.00 , 4 , 2 , 1.1 , 1.3 , 2.0 , 3.0 ,0.10,1.00, 2 , 10 , Conical ,16.6, 33.20 
2024208DMEPR_dona_rep1_HLH22-0296_15,HLH22-0296,dona,15,4,2,1,0, 0.40 , 1 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 14 , Conical ,4, 25.49 
2024208DMEPR_dona_rep1_HLF22-0237_16,HLF22-0237,dona,16,3,2,1,0, 0.70 , 2 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 10 , Cylindrical ,13.4, 10.00 
2024208DMEPR_dona_rep1_KM505_17,KM505,dona,17,2,2,1,1, 0.90 , 3 , 3 , 2.9 , 3.0 , 3.0 , 4.0 ,0.44,0.00, 1 , 12 , Cylindrical ,20, 27.00 
2024208DMEPR_dona_rep1_HLH22-0259_18,HLH22-0259,dona,18,1,2,1,0, 1.00 , 8 , 5 , 1.0 , 1.0 , 1.0 , 1.0 ,0.20,5.00, 1 , 20 , Cylindrical ,35, 28.20 
2024208DMEPR_dona_rep1_HLF22-0221_19,HLF22-0221,dona,19,1,3,1,0, 0.80 , 3 , 5 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 11 , Conical ,22.8, 18.30 
2024208DMEPR_dona_rep1_HLF22-0129_20,HLF22-0129,dona,20,2,3,1,0, 0.70 , 1 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.57,100.00, 1 , 10 , Cylindrical ,2.2, NA 
2024208DMEPR_dona_rep1_HLF22-0031_21,HLF22-0031,dona,21,3,3,1,0, 0.90 , 2 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 18 , Cylindrical ,40.4, 27.30 
2024208DMEPR_dona_rep1_HLF22-0278_22,HLF22-0278,dona,22,4,3,1,0, 1.00 , 2 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.20,10.00, 1 , 12 , Cylindrical ,24.6, 22.20 
2024208DMEPR_dona_rep1_HLF22-0136_23,HLF22-0136,dona,23,5,3,1,0, 1.00 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 16 , Cylindrical ,36.8, 25.30 
2024208DMEPR_dona_rep1_HLH22-0419_24,HLH22-0419,dona,24,6,3,1,0, 1.00 , 3 , 3 , 1.3 , 1.4 , 1.0 , 1.0 ,0.10,5.00, 1 , 20 , Conical ,30.4, 26.40 
2024208DMEPR_dona_rep1_HLF22-0052_25,HLF22-0052,dona,25,7,3,1,0, 1.00 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.20,0.00, 1 , 17 , Cylindrical ,27.8, 28.50 
2024208DMEPR_dona_rep1_HLH22-0476_26,HLH22-0476,dona,26,8,3,1,0, 1.00 , 3 , 3 , 2.1 , 2.1 , 2.0 , 3.0 ,0.10,0.00, 4 , 18 , Cylindrical ,36.2, 21.20 
2024208DMEPR_dona_rep1_HLF22-0137_27,HLF22-0137,dona,27,9,3,1,0, 0.80 , 2 , 3 , 1.1 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 15 , Conical ,29, 25.00 
2024208DMEPR_dona_rep1_HLF22-0105_28,HLF22-0105,dona,28,9,4,1,0, 0.70 , 3 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 16 , Cylindrical ,30, 23.00 
2024208DMEPR_dona_rep1_KU50_29,KU50,dona,29,8,4,1,1, 0.70 , 2 , 3 , 1.4 , 1.6 , 1.6 , 3.0 ,0.43,40.00, 1 , 9 , Cylindrical ,9.6, 29.00 
2024208DMEPR_dona_rep1_HLF22-0133_30,HLF22-0133,dona,30,7,4,1,0, 1.00 , 5 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 18 , Cylindrical ,28, 19.00 
2024208DMEPR_dona_rep1_HLF22-0132_31,HLF22-0132,dona,31,6,4,1,0, 0.90 , 6 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 15 , Conical ,27.4, 27.50 
2024208DMEPR_dona_rep1_HLF22-0139_32,HLF22-0139,dona,32,5,4,1,0, 1.00 , 4 , 4 , 1.0 , 1.1 , 1.0 , 1.0 ,0.30,60.00, 1 , 8 , Cylindrical ,6.6, 12.62 
2024208DMEPR_dona_rep1_HLH22-0354_33,HLH22-0354,dona,33,4,4,1,0, 0.90 , 1 , 3 , 1.6 , 3.0 , 3.0 , 3.0 ,0.33,0.00, 1 , 15 , Cylindrical ,24.8, 22.00 
2024208DMEPR_dona_rep1_HLF22-0103_34,HLF22-0103,dona,34,3,4,1,0, 1.00 , 4 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 21 , Conical ,43.8, 26.00 
2024208DMEPR_dona_rep1_HLH22-0612_35,HLH22-0612,dona,35,2,4,1,0, 1.00 , 1 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.30,50.00, 1 , 6 , Cylindrical ,7, 7.84 
2024208DMEPR_dona_rep1_HLF22-0142_36,HLF22-0142,dona,36,1,4,1,0, 0.90 , 2 , 5 , 1.0 , 1.0 , 1.0 , 1.0 ,0.33,90.00, 1 , 12 , Cylindrical ,15.4, 10.20 
2024208DMEPR_dona_rep1_HLF22-0121_37,HLF22-0121,dona,37,1,5,1,0, 1.00 , 4 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 24 , Cylindrical ,28.6, 27.50 
2024208DMEPR_dona_rep1_HLF22-0040_38,HLF22-0040,dona,38,2,5,1,0, 1.00 , 3 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 28 , Conical ,31.2, 25.30 
2024208DMEPR_dona_rep1_HLF22-0213_39,HLF22-0213,dona,39,3,5,1,0, 1.00 , 5 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 25 , Cylindrical ,26, 21.00 
2024208DMEPR_dona_rep1_HLH22-0070_40,HLH22-0070,dona,40,4,5,1,0, 0.80 , 3 , 3 , 1.0 , 1.0 , 1.5 , 2.0 ,0.00,0.00, 1 , 10 , Conical ,21.8, 19.60 
2024208DMEPR_dona_rep1_HLH22-0394_41,HLH22-0394,dona,41,5,5,1,0, 1.00 , 4 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 20 , Conical ,27.2, 27.50 
2024208DMEPR_dona_rep1_HLH22-0358_42,HLH22-0358,dona,42,6,5,1,0, 1.00 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 18 , Cylindrical ,40, 22.50 
2024208DMEPR_dona_rep1_HLH22-0615_43,HLH22-0615,dona,43,7,5,1,0, 0.90 , 3 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 22 , Cylindrical ,21.4, 27.00 
2024208DMEPR_dona_rep1_HLF22-0208_44,HLF22-0208,dona,44,8,5,1,0, 1.00 , 1 , 4 , 1.0 , 1.0 , 1.2 , 1.0 ,0.00,0.00, 1 , 15 , Cylindrical ,29.8, 24.70 
2024208DMEPR_dona_rep1_TMEB419_45,TMEB419,dona,45,9,5,1,1, 1.00 , 2 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 23 , Cylindrical ,28.6, 28.50 
2024208DMEPR_dona_rep1_HLF22-0047_46,HLF22-0047,dona,46,9,6,1,0, 1.00 , 4 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.20,10.00, 1 , 14 , Cylindrical ,28.2, 30.20 
2024208DMEPR_dona_rep1_HLH22-0254_47,HLH22-0254,dona,47,8,6,1,0, 0.80 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 2 , 17 , Cylindrical ,20.6, 26.40 
2024208DMEPR_dona_rep1_HLF22-0311_48,HLF22-0311,dona,48,7,6,1,0, 0.70 , 1 , 2 , 2.1 , 2.0 , 3.0 , 4.0 ,0.00,0.00, 1 , 6 , Cylindrical ,13.4, 23.90 
2024208DMEPR_dona_rep1_HLH22-0312_49,HLH22-0312,dona,49,6,6,1,0, 1.00 , 2 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 20 , Cylindrical ,27.8, 22.00 
2024208DMEPR_dona_rep1_HLH22-0055_50,HLH22-0055,dona,50,5,6,1,0, 1.00 , 4 , 4 , 1.7 , 1.8 , 2.0 , 2.0 ,0.20,10.00, 1 , 20 , Conical ,18.6, 23.50 
2024208DMEPR_dona_rep1_HLH22-0373_51,HLH22-0373,dona,51,4,6,1,0, 0.30 , 1 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 6 , Cylindrical ,19, 18.60 
2024208DMEPR_dona_rep1_IBA980581_52,IBA980581,dona,52,3,6,1,1, 1.00 , 1 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 19 , Cylindrical ,19.4, 15.50 
2024208DMEPR_dona_rep1_HLH22-0268_53,HLH22-0268,dona,53,2,6,1,0, 0.70 , 2 , 4 , 1.0 , 1.1 , 1.0 , 1.0 ,0.71,50.00, 1 , 16 , Conical ,5.4, 15.13 
2024208DMEPR_dona_rep1_HLH22-0454_54,HLH22-0454,dona,54,1,6,1,0, 0.80 , 3 , 5 , 1.0 , 1.0 , 1.0 , 1.0 ,0.25,10.00, 1 , 11 , Cylindrical ,18.8, 22.70 
2024208DMEPR_dona_rep2_HLF22-0133_55,HLF22-0133,dona,55,1,7,2,0, 0.90 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.44,100.00, 1 , 12 , Conical ,2.6, 20.90 
2024208DMEPR_dona_rep2_HLF22-0146_56,HLF22-0146,dona,56,2,7,2,0, 0.50 , 2 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,1.00,60.00, 1 , 15 , Cylindrical ,10.6, 17.90 
2024208DMEPR_dona_rep2_HLH22-0070_57,HLH22-0070,dona,57,3,7,2,0, 0.40 , 1 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 6 , Cylindrical ,10.2, 16.00 
2024208DMEPR_dona_rep2_HLF22-0137_58,HLF22-0137,dona,58,4,7,2,0, 0.70 , 2 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 10 , Cylindrical ,22.2, 20.50 
2024208DMEPR_dona_rep2_HLH22-0454_59,HLH22-0454,dona,59,5,7,2,0, 1.00 , 3 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 31 , Cylindrical ,22.2, 26.00 
2024208DMEPR_dona_rep2_HLF22-0052_60,HLF22-0052,dona,60,6,7,2,0, 1.00 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.70,50.00, 1 , 10 , Cylindrical ,12.8, 24.30 
2024208DMEPR_dona_rep2_HLF22-0297_61,HLF22-0297,dona,61,7,7,2,0, 0.90 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,1.44,15.00, 1 , 11 , Conical ,16.8, 18.00 
2024208DMEPR_dona_rep2_HLF22-0132_62,HLF22-0132,dona,62,8,7,2,0, 1.00 , 3 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.20,5.00, 2 , 22 , Cylindrical ,5.8, 22.89 
2024208DMEPR_dona_rep2_HLF22-0103_63,HLF22-0103,dona,63,9,7,2,0, 1.00 , 3 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 20 , Conical ,38, 23.00 
2024208DMEPR_dona_rep2_HLF22-0142_64,HLF22-0142,dona,64,9,8,2,0, 0.50 , 2 , 4 , 1.0 , 1.0 , 1.0 , 1.0 ,0.60,20.00, 1 , 10 , Cylindrical ,18.2, 22.00 
2024208DMEPR_dona_rep2_HLF22-0249_65,HLF22-0249,dona,65,8,8,2,0, 0.20 , 1 , 2 , 1.0 , 1.0 , 1.0 , 1.0 ,0.00,0.00, 1 , 6 , Cylindrical ,3.2, 20.24 
2024208DMEPR_dona_rep2_HLF22-0047_66,HLF22-0047,dona,66,7,8,2,0, 1.00 , 4 , 3 , 1.0 , 1.0 , 1.0 , 1.0 ,0.20,10.00, 1 , 19 , Cylindrical ,29, 31.40 
