plot_name,accession_name,female_parents,male_parents,location,location2,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate, CMD_1month , CMD_3month , CMD_6month ,CMD_harvest,plant_type,stem_count,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024219DMEPR_chauthanh_rep1_HLH22-0373_1,HLH22-0373,HL-S12,NA,chauthanh,chauthanh,1,1,1,1,0,1, 1.0 , 1.0 , 1.0 ,1,3,16,cylindrical,2,cream,1, 21.08 ,14
2024219DMEPR_chauthanh_rep1_KM505_2,KM505,SM937-26,NA,chauthanh,chauthanh,2,2,1,1,1,0.9, 2.3 , 3.0 , 2.7 ,3,2,6,cylindrical,1,dark_brown,5.6, 24.07 ,9
2024219DMEPR_chauthanh_rep1_HLH22-0055_3,HLH22-0055,KU50,NA,chauthanh,chauthanh,3,3,1,1,0,1, 1.0 , 1.0 , 1.8 ,2,2,24,cylindrical,2,cream,3.6, 15.65 ,0
2024219DMEPR_chauthanh_rep1_HLF22-0292_4,HLF22-0292,HL-S14,IBA980581,chauthanh,chauthanh,4,4,1,1,0,1, 1.0 , 1.0 , 1.0 ,1,2,19,conical,2,cream,4.8, 13.70 ,0
2024219DMEPR_chauthanh_rep1_HLF22-0297_5,HLF22-0297,HL-S14,IBA980581,chauthanh,chauthanh,5,5,1,1,0,1, 1.0 , 1.0 , 1.0 ,1,1,15,cylindrical,2,cream,6.8, 13.30 ,0
2024219DMEPR_chauthanh_rep1_HLH22-0612_6,HLH22-0612,TMEB419,NA,chauthanh,chauthanh,6,6,1,1,0,0.8, 1.0 , 1.0 , 1.0 ,1,3,2,NA,NA,NA,0, NA ,2
2024219DMEPR_chauthanh_rep1_HLF22-0208_7,HLF22-0208,HL-S11,IBA980581,chauthanh,chauthanh,7,6,2,1,0,0.9, 1.0 , 1.0 , 1.0 ,1,2,15,cylindrical,1,cream,6, 15.71 ,8
2024219DMEPR_chauthanh_rep1_HLF22-0047_8,HLF22-0047,TMEB419,KU50,chauthanh,chauthanh,8,5,2,1,0,1, 1.0 , 1.0 , 1.0 ,1,1,10,cylindrical,2,brown,1.2, 16.91 ,11
2024219DMEPR_chauthanh_rep1_HLF22-0249_9,HLF22-0249,HL-S11,IBA980581,chauthanh,chauthanh,9,4,2,1,0,0.9, 1.0 , 1.0 , 1.0 ,1,3,5,conical,3,cream,1, 18.92 ,7
2024219DMEPR_chauthanh_rep1_HLF22-0032_10,HLF22-0032,TMEB419,HL-S11,chauthanh,chauthanh,10,3,2,1,0,0.8, 2.0 , 1.0 , 1.0 ,1,2,8,NA,NA,NA,0.4, NA ,20
2024219DMEPR_chauthanh_rep1_HLH22-0615_11,HLH22-0615,TMEB419,NA,chauthanh,chauthanh,11,2,2,1,0,1, 1.0 , 1.0 , 1.0 ,1,2,20,cylindrical,1,cream,5.6, 22.30 ,19
2024219DMEPR_chauthanh_rep1_HLF22-0103_12,HLF22-0103,KM140,TMEB419,chauthanh,chauthanh,12,1,2,1,0,1, 1.0 , 1.0 , 1.0 ,1,1,15,cylindrical,2,cream,5.6, 19.04 ,11
2024219DMEPR_chauthanh_rep1_HLF22-0129_13,HLF22-0129,Rayong 11,AR35-1,chauthanh,chauthanh,13,1,3,1,0,0.7, 1.0 , 1.0 , 1.0 ,1,3,5,conical,3,brown,2, 17.02 ,15
2024219DMEPR_chauthanh_rep1_HLF22-0121_14,HLF22-0121,KM419,TMEB419,chauthanh,chauthanh,14,2,3,1,0,1, 1.0 , 1.0 , 1.0 ,1,2,19,cylindrical,1,cream,7, 21.86 ,14
2024219DMEPR_chauthanh_rep1_HLH22-0259_15,HLH22-0259,CR24-16,NA,chauthanh,chauthanh,15,3,3,1,0,1, 1.0 , 1.0 , 1.0 ,1,1,9,cylindrical,2,cream,1.2, 16.09 ,15
2024219DMEPR_chauthanh_rep1_HLF22-0142_16,HLF22-0142,Rayong 11,IBA972205,chauthanh,chauthanh,16,4,3,1,0,0.7, 1.0 , 1.0 , 1.0 ,1,2,5,conical,2,cream,2, 11.31 ,8
2024219DMEPR_chauthanh_rep1_CR24-16_17,CR24-16,NA,NA,chauthanh,chauthanh,17,5,3,1,1,0.8, 1.0 , 1.0 , 1.0 ,1,3,7,cylindrical,1,dark_brown,3.4, 17.37 ,24
2024219DMEPR_chauthanh_rep1_HLF22-0136_18,HLF22-0136,Rayong 11,IBA972205,chauthanh,chauthanh,18,6,3,1,0,1, 1.0 , 1.0 , 1.0 ,1,2,18,cylindrical,1,dark_brown,11, 15.50 ,23
2024219DMEPR_chauthanh_rep1_HLH22-0069_19,HLH22-0069,KU50,NA,chauthanh,chauthanh,19,6,4,1,0,1, 1.4 , 3.0 , 3.4 ,6,2,11,cylindrical,1,cream,8, 20.00 ,17
2024219DMEPR_chauthanh_rep1_HLH22-0394_20,HLH22-0394,TMEB419,NA,chauthanh,chauthanh,20,5,4,1,0,1, 1.0 , 1.0 , 1.0 ,1,2,6,NA,NA,NA,0, NA ,14
2024219DMEPR_chauthanh_rep1_HLH22-0296_21,HLH22-0296,CR24-16,NA,chauthanh,chauthanh,21,4,4,1,0,0.9, 1.0 , 1.0 , 1.0 ,1,3,2,NA,NA,NA,0, NA ,7
2024219DMEPR_chauthanh_rep1_HLH22-0268_22,HLH22-0268,CR24-16,NA,chauthanh,chauthanh,22,3,4,1,0,1, 1.2 , 1.0 , 2.0 ,1,3,4,cylindrical,1,brown,3, 17.02 ,23
2024219DMEPR_chauthanh_rep1_HLF22-0221_23,HLF22-0221,HL-S11,IBA980581,chauthanh,chauthanh,23,2,4,1,0,0.9, 1.0 , 1.0 , 1.0 ,1,2,8,NA,NA,NA,0, NA ,18
2024219DMEPR_chauthanh_rep1_HLF22-0153_24,HLF22-0153,Rayong 11,IBA980581,chauthanh,chauthanh,24,1,4,1,0,0.8, 1.0 , 1.0 , 1.0 ,1,3,9,NA,NA,NA,0, NA ,21
2024219DMEPR_chauthanh_rep1_HLF22-0040_25,HLF22-0040,TMEB419,HL-S14,chauthanh,chauthanh,25,1,5,1,0,1, 1.0 , 1.0 , 1.0 ,1,1,13,NA,NA,NA,0, NA ,7
2024219DMEPR_chauthanh_rep1_HLF22-0133_26,HLF22-0133,Rayong 11,AR35-1,chauthanh,chauthanh,26,2,5,1,0,1, 1.0 , 1.0 , 1.0 ,1,2,17,conical,2,dark_brown,1.6, 15.05 ,13
2024219DMEPR_chauthanh_rep1_HLH22-0312_27,HLH22-0312,CR24-16,NA,chauthanh,chauthanh,27,3,5,1,0,1, 1.0 , 1.0 , 1.0 ,1,3,20,NA,NA,NA,1.6, 14.87 ,12
