plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,germination_rate,VIGOR_1month,VIGOR_3month,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,Plant_Type,percentage_root_rot,percentage_lodging,Plant_Type2,Stem_Count,root_shape,root_type,root_skin_color,plot_weight, starch_content 
2024220DMEAR_chauthanh_rep1_HLH21-0046_1,HLH21-0046,KU50,NA,chauthanh,1,1,1,1,1,3,3,1,1,1,1,1,0.00,,1,46,conical,1,brown,34,20.2
2024220DMEAR_chauthanh_rep1_VF21-0289_2,VF21-0289,AR9-18,HL-S14,chauthanh,2,1,2,1,1,4,3,1,1,1,1,1,0.00,5,1,52,conical,2,brown,40.8,14
2024220DMEAR_chauthanh_rep1_VF21-0315_3,VF21-0315,HL-S14,AR9-18,chauthanh,3,1,3,1,1,5,4,1,1,1,1,1,0.00,,1,40,cylindrical,1,cream,93.2,22.4
2024220DMEAR_chauthanh_rep1_CR24-16_4,CR24-16,NA,NA,chauthanh,4,1,4,1,1,4,3,1,1,1,1,2,68.00,100,2,20,cylindrical,1,dark_brown,56.2,22.2
2024220DMEAR_chauthanh_rep1_HLH21-0066_5,HLH21-0066,KU50,NA,chauthanh,5,1,5,1,1,5,5,1,1,1,1,1,60.00,100,1,22,cylindrical,1,dark_brown,45.8,16.2
2024220DMEAR_chauthanh_rep1_VH1-1521_6,VH1-1521,NA,NA,chauthanh,6,2,5,1,0.92,4,5,1,1,1,1,1,43.48,70,1,41,cylindrical,1,cream,74,21.2
2024220DMEAR_chauthanh_rep1_VF21-0364_7,VF21-0364,KM419 ,AR9-18,chauthanh,7,2,4,1,1,4,3,1,1,1,1,1,32.00,20,1,48,cylindrical,1,cream,66.6,21
2024220DMEAR_chauthanh_rep1_KU50_8,KU50,NA,NA,chauthanh,8,2,3,1,1,4,3,2,2,4,3,1,76.00,100,1,26,cylindrical,1,cream,45.8,17.5
2024220DMEAR_chauthanh_rep1_HLF21-0022_9,HLF21-0022,SM937-26,AR100-13,chauthanh,9,2,2,1,1,5,5,1,1,1,1,1,48.00,80,1,50,cylindrical,1,dark_brown,42.4,21.8
2024220DMEAR_chauthanh_rep1_TMEB419_10,TMEB419,NA,NA,chauthanh,10,2,1,1,1,3,4,1,1,1,1,1,0.00,,1,52,conical,3,dark_brown,5.2,13.88
2024220DMEAR_chauthanh_rep1_VH21-1513_11,VH21-1513,IBA980505,NA,chauthanh,11,3,1,1,0.96,5,5,1,1,1,1,2,0.00,,2,30,cylindrical,3,brown,8.4,16.5
2024220DMEAR_chauthanh_rep1_HLH21-0035_12,HLH21-0035,AR9-18,NA,chauthanh,12,3,2,1,0.96,3,3,1,1,1,1,1,33.33,60,1,40,cylindrical,2,cream,20.6,15.5
2024220DMEAR_chauthanh_rep1_VF21-0301_13,VF21-0301,HL-S14,AR9-18,chauthanh,13,3,3,1,1,5,3,1,1,1,1,1,80.00,100,1,53,cylindrical,2,cream,34.4,13.9
2024220DMEAR_chauthanh_rep1_VH21-1516_14,VH21-1516,IBA980505,NA,chauthanh,14,3,4,1,0.84,2,3,1,1,2,3,1,9.52,5,1,43,cylindrical,1,cream,32.2,14
2024220DMEAR_chauthanh_rep1_IBA980581_15,IBA980581,NA,NA,chauthanh,15,3,5,1,0.96,3,3,1,1,1,1,1,50.00,50,1,37,cylindrical,1,cream,28.4,13.5
2024220DMEAR_chauthanh_rep1_VH21-1505_16,VH21-1505,IBA972205,NA,chauthanh,16,4,5,1,1,4,4,1,1,1,1,1,0.00,,1,21,cylindrical,2,brown,19,14.7
2024220DMEAR_chauthanh_rep1_HLF21-0019_17,HLF21-0019,AR9-18,KM140,chauthanh,17,4,4,1,1,4,3,1,1,1,1,1,80.00,95,1,53,NA,3,cream,34,10.86
2024220DMEAR_chauthanh_rep1_VF21-0264_18,VF21-0264,HL-S13,C33,chauthanh,18,4,3,1,1,4,5,1,1,1,1,1,24.00,30,1,39,cylindrical,1,brown,15.6,16
2024220DMEAR_chauthanh_rep1_KM505_19,KM505,NA,NA,chauthanh,19,4,2,1,1,4,4,2,2,4,3,1,64.00,80,1,35,conical,2,dark_brown,6,18.3
2024220DMEAR_chauthanh_rep1_VH21-1506_20,VH21-1506,IBA972205,NA,chauthanh,20,4,1,1,1,3,2,1,1,1,1,1,12.00,70,1,20,conical,2,brown,7.4,16
2024220DMEAR_chauthanh_rep2_HLH21-0066_21,HLH21-0066,KU50,NA,chauthanh,21,5,1,2,1,5,5,1,1,1,1,1,20.00,90,1,19,NA,NA,NA,0, NA 
2024220DMEAR_chauthanh_rep2_VF21-0364_22,VF21-0364,KM419 ,AR9-18,chauthanh,22,5,2,2,1,4,3,1,1,1,1,1,12.00,60,1,29,cylindrical,3,cream,13.2,18.5
2024220DMEAR_chauthanh_rep2_VH1-1521_23,VH1-1521,NA,NA,chauthanh,23,5,3,2,0.92,4,4,1,1,1,1,1,39.13,50,1,25,NA,NA,cream,5.2,12.28
2024220DMEAR_chauthanh_rep2_VF21-0301_24,VF21-0301,HL-S14,AR9-18,chauthanh,24,5,4,2,0.92,4,3,1,1,2,1,1,0.00,,1,55,cylindrical,3,cream,12.8,11.6
2024220DMEAR_chauthanh_rep2_KU50_25,KU50,NA,NA,chauthanh,25,5,5,2,1,5,4,2,2,4,4,1,16.00,10,1,35,cylindrical,1,cream,9,17.5
2024220DMEAR_chauthanh_rep2_VF21-0289_26,VF21-0289,AR9-18,HL-S14,chauthanh,26,6,5,2,1,4,3,1,1,1,1,1,40.00,100,1,22,cylindrical,NA,cream,2.4,10.04
2024220DMEAR_chauthanh_rep2_VH21-1513_27,VH21-1513,IBA980505,NA,chauthanh,27,6,4,2,1,4,4,1,1,1,1,1,44.00,80,1,36,cylindrical,2,cream,25.8,19
2024220DMEAR_chauthanh_rep2_KM505_28,KM505,NA,NA,chauthanh,28,6,3,2,1,3,4,2,2,3,4,1,48.00,80,1,31,conical,1,dark_brown,11.4,19.5
2024220DMEAR_chauthanh_rep2_VF21-0264_29,VF21-0264,HL-S13,C33,chauthanh,29,6,2,2,1,4,4,1,1,1,1,1,4.00,20,1,54,cylindrical,2,cream,7.2,15.22
2024220DMEAR_chauthanh_rep2_CR24-16_30,CR24-16,NA,NA,chauthanh,30,6,1,2,1,3,3,1,1,1,1,1,32.00,90,1,21,conical,1,dark_brown,0, NA 
2024220DMEAR_chauthanh_rep2_HLF21-0022_31,HLF21-0022,SM937-26,AR100-13,chauthanh,31,7,1,2,0.92,4,4,1,1,1,1,1,0.00,5,1,39,cylindrical,2,dark_brown,12.4,21.5
2024220DMEAR_chauthanh_rep2_VH21-1505_32,VH21-1505,IBA972205,NA,chauthanh,32,7,2,2,1,2,2,1,1,1,1,1,40.00,100,1,22,cylindrical,2,dark_brown,8,10.5
2024220DMEAR_chauthanh_rep2_HLH21-0046_33,HLH21-0046,KU50,NA,chauthanh,33,7,3,2,0.96,3,3,1,1,1,1,1,8.33,30,1,39,conical,3,cream,11.6,15.5
2024220DMEAR_chauthanh_rep2_IBA980581_34,IBA980581,NA,NA,chauthanh,34,7,4,2,1,4,4,1,1,1,1,1,12.00,10,1,46,,,,11,12
2024220DMEAR_chauthanh_rep2_VH21-1506_35,VH21-1506,IBA972205,NA,chauthanh,35,7,5,2,1,3,3,1,2,1,3,1,60.00,90,1,34,cylindrical,2,brown,16.8,14.8
2024220DMEAR_chauthanh_rep2_HLF21-0019_36,HLF21-0019,AR9-18,KM140,chauthanh,36,8,5,2,1,5,3,1,1,1,1,1,4.00,5,1,63,conical,3,cream,13,14.89
2024220DMEAR_chauthanh_rep2_VF21-0315_37,VF21-0315,HL-S14,AR9-18,chauthanh,37,8,4,2,1,5,4,1,1,1,1,1,52.00,95,1,36,cylindrical,1,cream,2.4,25.02
2024220DMEAR_chauthanh_rep2_VH21-1516_38,VH21-1516,IBA980505,NA,chauthanh,38,8,3,2,0.72,2,2,1,1,1,1,1,33.33,15,1,14,conical,2,cream,5.4,13.71
2024220DMEAR_chauthanh_rep2_TMEB419_39,TMEB419,NA,NA,chauthanh,39,8,2,2,1,4,3,1,1,1,1,1,20.00,20,1,38,cylindrical,1,dark_brown,9,20
2024220DMEAR_chauthanh_rep2_HLH21-0035_40,HLH21-0035,AR9-18,NA,chauthanh,40,8,1,2,1,3,3,1,1,1,1,1,0.00,5,1,44,conical,3,cream,9.4,15
2024220DMEAR_chauthanh_rep3_VF21-0301_41,VF21-0301,HL-S14,AR9-18,chauthanh,41,9,1,3,1,3,3,1,1,1,1,1,16.00,5,1,52,cylindrical,3,cream,7.4,13.3
2024220DMEAR_chauthanh_rep3_HLF21-0019_42,HLF21-0019,AR9-18,KM140,chauthanh,42,9,2,3,1,4,3,1,1,1,1,1,76.00,90,1,55,cylindrical,3,cream,5.6,11.49
2024220DMEAR_chauthanh_rep3_VF21-0289_43,VF21-0289,AR9-18,HL-S14,chauthanh,43,9,3,3,1,4,3,1,1,1,1,1,48.00,90,1,33,,,,0, NA 
2024220DMEAR_chauthanh_rep3_KM505_44,KM505,NA,NA,chauthanh,44,9,4,3,0.92,3,4,2,2,3,4,1,21.74,70,1,37,conical,1,dark_brown,9.4,24.5
2024220DMEAR_chauthanh_rep3_VF21-0315_45,VF21-0315,HL-S14,AR9-18,chauthanh,45,9,5,3,1,4,4,1,1,1,1,1,60.00,95,1,36,cylindrical,3,brown,6,21.79
2024220DMEAR_chauthanh_rep3_VF21-0264_46,VF21-0264,HL-S13,C33,chauthanh,46,10,5,3,1,3,4,1,1,1,1,1,48.00,95,1,37,NA,NA,cream,4.4,14.51
2024220DMEAR_chauthanh_rep3_HLH21-0066_47,HLH21-0066,KU50,NA,chauthanh,47,10,4,3,0.96,2,2,4,1,1,1,1,0.00,,1,26,conical,NA,dark_brown,0, NA 
2024220DMEAR_chauthanh_rep3_VF21-0364_48,VF21-0364,KM419 ,AR9-18,chauthanh,48,10,3,3,1,4,3,1,1,1,1,1,0.00,,1,50,conical,3,cream,8.8,14.63
2024220DMEAR_chauthanh_rep3_VH21-1516_49,VH21-1516,IBA980505,NA,chauthanh,49,10,2,3,0.8,1,2,1,1,1,1,1,10.00,10,1,21,NA,NA,NA,1.6,12
2024220DMEAR_chauthanh_rep3_VH21-1505_50,VH21-1505,IBA972205,NA,chauthanh,50,10,1,3,0.96,3,3,1,1,1,1,1,41.67,90,1,27,conical,3,dark_brown,4,11.67
2024220DMEAR_chauthanh_rep3_IBA980581_51,IBA980581,NA,NA,chauthanh,51,11,1,3,0.92,2,2,1,1,1,1,1,0.00,,1,40,conical,2,brown,7.4,13.5
2024220DMEAR_chauthanh_rep3_KU50_52,KU50,NA,NA,chauthanh,52,11,2,3,0.96,3,4,2,2,4,4,1,58.33,80,1,27,conical,3,cream,2.6,22.74
2024220DMEAR_chauthanh_rep3_VH21-1506_53,VH21-1506,IBA972205,NA,chauthanh,53,11,3,3,0.96,3,3,1,2,2,2,1,33.33,50,1,25,cylindrical,1,cream,3.4,17.7
2024220DMEAR_chauthanh_rep3_HLH21-0046_54,HLH21-0046,KU50,NA,chauthanh,54,11,4,3,1,4,3,1,1,1,1,1,28.00,10,1,46,conical,3,cream,6.8,16.34
2024220DMEAR_chauthanh_rep3_HLF21-0022_55,HLF21-0022,SM937-26,AR100-13,chauthanh,55,11,5,3,0.96,3,4,1,1,1,1,1,33.33,80,1,26,cylindrical,1,dark_brown,11.8,20.3
2024220DMEAR_chauthanh_rep3_TMEB419_56,TMEB419,NA,NA,chauthanh,56,12,5,3,0.96,4,4,4,1,1,1,1,29.17,70,1,32,cylindrical,1,brown,14.4,21.6
2024220DMEAR_chauthanh_rep3_HLH21-0035_57,HLH21-0035,AR9-18,NA,chauthanh,57,12,4,3,1,3,3,1,1,1,1,1,12.00,20,1,26,conical,2,cream,13.6,12.7
2024220DMEAR_chauthanh_rep3_CR24-16_58,CR24-16,NA,NA,chauthanh,58,12,3,3,0.96,3,2,1,1,1,1,1,0.00,,1,38,cylindrical,1,dark_brown,0,15.98
2024220DMEAR_chauthanh_rep3_VH21-1513_59,VH21-1513,IBA980505,NA,chauthanh,59,12,2,3,1,3,3,1,1,1,1,1,0.00,,1,46,cylindrical,3,cream,12.6,16.53
2024220DMEAR_chauthanh_rep3_VH21-1521_60,VH21-1521,AR9-18,NA,chauthanh,60,12,1,3,0.76,1,3,1,1,1,1,1,47.37,70,1,28,cylindrical,3,cream,3,27.2
