"plot_name","accession_name","location","female_parents","male_parents","plot_number","row_number","column_number","rep_number","germination_rate","CMD_harvest","root_shape","root_type","plot_weight","starch_content","percentage_root_rot","percentage_lodging","control","CMD_1mon","CMD_3mon","CMD_6mon","lodging1_3","plant_type1_5","root_skin_color1_3","vigor_1mon","vigor_3mon","trial_name","plot_width","plot_length","harvest_number","planted_number_plot"
"2024201DMEAR_chauthanh_rep1_VF21-0005_1","VF21-0005","chauthanh","HL-S13","CR24-3",1,1,1,1,1,1,3,1,114,18.7,28,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_TMEB419_2","TMEB419","chauthanh",NA,NA,2,1,2,1,0.68,1,1,2,57,21.5,83.33,NA,1,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0072_3","VH21-0072","chauthanh","IBA972205",NA,3,1,3,1,0.96,1,1,3,71,14.3,14.29,NA,0,1,1,1,0.8,4,3,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VF21-0184_4","VF21-0184","chauthanh","KM140","AR9-18",4,1,4,1,0.92,1,1,2,102,16.7,19.05,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-1087_5","VH21-1087","chauthanh","TMEB419",NA,5,1,5,1,0.88,1,1,1,94,25.7,4.55,NA,0,1,1,1,0.3,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_IBA980581_6","IBA980581","chauthanh",NA,NA,6,1,6,1,0.88,1,1,2,34,11,76.47,NA,1,1,1,1,1,2,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-1140_7","VH21-1140","chauthanh","CR24-12",NA,7,1,7,1,0.72,1,1,3,0,NA,100,NA,0,1,1,1,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VF21-0055_8","VF21-0055","chauthanh","HL-S14","AR9-18",8,2,7,1,1,1,1,1,0,NA,100,NA,0,1,1,1,1,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0203_9","VH21-0203","chauthanh","IBA980505",NA,9,2,6,1,1,1,3,2,41,15.9,91.3,NA,0,1,1,1,0.5,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_KM505_10","KM505","chauthanh",NA,NA,10,2,5,1,0.96,1,1,2,58,19.3,73.91,NA,1,1,2,2,0.1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_KU50_11","KU50","chauthanh",NA,NA,11,2,4,1,1,3,3,2,54,20.9,58.33,NA,1,1,3,4,0,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_CR24-16_12","CR24-16","chauthanh",NA,NA,12,2,3,1,0.8,1,1,3,25,21.3,47.37,NA,1,1,1,1,0,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0477_13","VH21-0477","chauthanh","AR9-18",NA,13,2,2,1,0.68,1,1,2,16,22,58.82,NA,0,1,1,1,1,3,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0402_14","VH21-0402","chauthanh","KM140",NA,14,2,1,1,1,1,3,3,36,16.1,86.36,NA,0,1,1,1,0.3,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0016_15","VH21-0016","chauthanh","IBA920057",NA,15,3,1,1,1,1,1,3,NA,NA,100,NA,0,1,1,1,1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0061_16","VH21-0061","chauthanh","IBA972205",NA,16,3,2,1,0.92,1,3,2,5.6,17.8,100,NA,0,1,1,1,1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0708_17","VH21-0708","chauthanh","KU50",NA,17,3,3,1,1,1,1,2,9,14.5,100,NA,0,1,1,1,1,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VF21-0017_18","VF21-0017","chauthanh","HL-S14","AR9-18",18,3,4,1,1,1,1,3,21.4,21.7,100,NA,0,1,1,1,0.8,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VF21-0109_19","VF21-0109","chauthanh","HL-S13","AR9-18",19,3,5,1,1,1,1,2,42.6,23.4,79.17,NA,0,1,1,1,0.1,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0779_20","VH21-0779","chauthanh","KU50",NA,20,3,6,1,0.92,1,3,2,12.8,15.8,95,NA,0,1,1,1,1,3,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep1_VH21-0172_21","VH21-0172","chauthanh","IBA980505",NA,21,3,7,1,0.96,0,3,1,11.2,10.4,100,NA,0,1,1,1,0.8,1,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0779_22","VH21-0779","chauthanh","KU50",NA,22,4,7,2,0.92,1,3,2,12.5,13.5,100,NA,0,1,1,1,1,3,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-1140_23","VH21-1140","chauthanh","CR24-12",NA,23,4,6,2,1,1,3,2,15,22.5,86.96,NA,0,1,1,1,0.8,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0477_24","VH21-0477","chauthanh","AR9-18",NA,24,4,5,2,0.96,1,3,2,18.6,19.9,66.67,NA,0,1,1,1,1,2,1,NA,NA,"2024201DMEAR_chau",4,5,9,25
"2024201DMEAR_chauthanh_rep2_VH21-0203_25","VH21-0203","chauthanh","IBA980505",NA,25,4,4,2,0.96,1,1,2,34.6,15.6,78.95,NA,0,1,1,1,0.3,1,2,NA,NA,"2024201DMEAR_chau",4,5,9,25
